district,taluka,area,registrationNo,propertyName,propertyAddress,noOfRooms
North Goa,Bardez,Mapusa,HOTN005180,Masa Homestay,"Ansabhat, Mapusa, Bardez, North Goa- 403507",2
North Goa,Bardez,Mapusa,HOTN005247,Curioso Casa Sia,"Apt 4h, Casa Rio Ph 2, Near Marna Petrol Pump, Cunchelim, Mapusa, Goa, Mapusa, Bardez, North Goa-
 403507",1
North Goa,Bardez,Mapusa,HOTN005248,Curioso 1b,"House 1/165/D1, Flat 1b, Casa Rio, Cunchelim,
 Mapusa Goa, Mapusa, Bardez, North Goa- 403507",1
North Goa,Bardez,Mapusa,HOTN005252,Benjis Getaway,"Flat No.2011, Las Terrazos, Ward No. 1, Cunchelim,
 Mapusa, Mapusa, Bardez, North Goa- 403507",2
North Goa,Bardez,Mapusa,HOTN005376,Villa 3 - Rumah Hutan,"Cunchelim, Mapusa, Bardez, North Goa- 403517",3
North Goa,Bardez,Mapusa,HOTN005377,Villa 5 - Ruham Hutan,"Chuchelim, Mapusa, Bardez, North Goa- 403517",3
North Goa,Bardez,Mapusa,HOTN005388,Villa 6 - Rumah Hutan,"Cunchelim, Mapusa, Bardez, North Goa- 403517",3
North Goa,Bardez,Mapusa,HOTN005400,Villa 8 - Rumah Hutan,"Chuchelim, Mapusa, Bardez, North Goa- 403517",3
North Goa,Bardez,Mapusa,HOTN005441,Villa 4 - Rumah Hutan,"Chuchelim, Mapusa, Bardez, North Goa- 403517",3
North Goa,Bardez,Mapusa,HOTN005575,Ms Architects Vastu Dnyan,"H. No. 9/289/A15, Ekta Nagar, Vaibhav Hill Park,
 Housing Board, Mapusa, Mapusa, Bardez, North Goa- 403507",12
North Goa,Bardez,Mapusa,HOTN005643,Rajat Ryan,"Casa Rio Phase I ,Cunchelim Mapusa Goa, Mapusa,
 Bardez, North Goa",1
North Goa,Bardez,Mapusa,HOTN005734,Wee Care Hostel N Dormitory,"Shop 2,3&4 Alfran House Behind Cine Alankar,
 Mapusa, Bardez, North Goa- 403507",3
North Goa,Bardez,Mapusa,HOTN005769,Las Terrazos,"Flat No 202 2 Floor, Mapusa, Bardez, North Goa-
 403507",1
North Goa,Bardez,Mapusa,HOTN005993,Hotel Saikiran,"H No 13/73/A10, 13/73/A11,13/73/12,13/73/A17,13/73/A18
 13/73/A18,13/73/A19,13/73/A24,13/73/A25,13/7
 3/A26,13/73/A31,13/73/A32,13/73/A33,13/73/A3
 5,13/73/A36,13/73/A37 Morod, Mapusa, Bardez, North Goa- 403507",15
North Goa,Bardez,Mapusa,HOTN006083,2c Casa Rio,"Hno 1/167/B2 , 2c Casa Rio Phase 1 Cunchelim,
 Mapusa, Bardez, North Goa",1
North Goa,Bardez,Mapusa,HOTN006176,Shivali Acharya,"Apt. B-208, Aldeia Siesta, Grand Morod, Calangute - Mapusa Rd, Nagoa, Saligao, Goa, Mapusa, Bardez,
 North Goa- 403511",1
North Goa,Bardez,Mapusa,HOTN006194,Iras Cozy Nook,"Hno.9/318/A, Ganeshpuri , Housing Board Mapusa
 Goa, Mapusa, Bardez, North Goa- 403507",5
North Goa,Bardez,Mapusa,HOTN006290,Tushar Goel,"12/2, Khorlim, Mapusa, Bardez, North Goa- 403507",5
North Goa,Bardez,Mapusa,HOTN006344,Vijaypalsingh Rathod,"H.No 711/37, Socorro, Mapusa, Bardez, North Goa",7
North Goa,Bardez,Mapusa,HOTN006450,Mendes Holidays With Heritage,"7/44 Mendes Rajwaddo An90d Mapusa Goa 403507,
 Mapusa, Bardez, North Goa",3
North Goa,Bardez,Mapusa,HOTN006535,"Casa Dias Two-Bedroom Villa
 With A Garden@Siolim","Apartment P1 , Cunchelim Mapusa, Mapusa, Bardez,
 North Goa- 803517",2
North Goa,Bardez,Oxel,HOTN001737,Fortune Casa,"Survey No. 68/1, Oxel, Oxel, Bardez, North Goa-
 403517",22
North Goa,Bardez,Oxel,HOTN002466,Goa Holidays,"H.No. 256/4 Bondir Wado, Oxel, Bardez, North Goa-
 403517",7
North Goa,Bardez,Oxel,HOTN002947,James Fernandes,"Goa, Oxel, Bardez, North Goa",1
North Goa,Bardez,Oxel,HOTN004521,Mandala Homestay,"Tropical Dreams, Oxel, Bardez, North Goa- 403517",1
North Goa,Bardez,Oxel,HOTN005164,P2 Santaa Rosa,"1/292/Gf/P2, Oxel Siolim, Oxel, Bardez, North Goa-
 403517",2
North Goa,Bardez,Oxel,HOTN005339,Villa Amarelo,"Oxel, Siolim, Oxel, Bardez, North Goa- 403517",2
North Goa,Bardez,Oxel,HOTN005398,Block A-9 T-1 Tropical Dreams,"Siolim, Oxel, Bardez, North Goa- 403517",2
North Goa,Bardez,Oxel,HOTN006217,Xanthe,"A2g1 Square Green Apartments, Oxel, Bardez, North
 Goa- 403517",2
North Goa,Bardez,Oxel,HOTN006446,Cea Casa,"Flat 05 Fortune Casa Baman Waddo Siolim, Oxel,
 Bardez, North Goa",2
North Goa,Bardez,Pomburpa,HOTN001338,Olaulim Backyards,"H No.92/A/8, Muddi Vaddo, Olaulim, Pomburpa,
 Bardez, North Goa- 403523",4
North Goa,Bardez,Pomburpa,HOTN006351,Villa Vaayu,"House No.19/8, Novo Waddo, Olaulim- Pomburpa,
 Pomburpa, Bardez, North Goa- 403523",4
North Goa,Bardez,Revora,HOTN003168,The Moonlit Stream,"H No. 150 Karkyacho Vhal Wada, Revora, Bardez,
 North Goa- 403513",3
North Goa,Bardez,Revora,HOTN005019,Rivogoa,"H.No 340/340a Maliwada, Revora, Bardez, North Goa-
 403513",2
North Goa,Bardez,Siolim,HOTN000140,Shambala Guest House,"H.No- 484,Khairat Oxel, Camurlim, Siolim, Bardez,
 North Goa- 403517",6
North Goa,Bardez,Siolim,HOTN000203,Vila De Goa,"H. No. 61/1 Vaddy, Siolim, Bardez, North Goa- 403517",10
North Goa,Bardez,Siolim,HOTN000378,Famafa Guest House,"H. No.441/B, Fernandes Vaddo, Siolim, Bardez, North
 Goa- 403517",6
North Goa,Bardez,Siolim,HOTN000403,Britto'S Inn,"H.No.253 Soares Waddo Marna, Siolim, Bardez, North
 Goa- 403517",4
North Goa,Bardez,Siolim,HOTN000423,La Casa Siolim,"H.No- 674/5, Portwaddo, Siolim, Bardez, North Goa-
 403517",22
North Goa,Bardez,Siolim,HOTN000754,Siolim House,"Opp Wadi Chapel Wadi Road, Siolim, Bardez, North
 Goa- 403517",9
North Goa,Bardez,Siolim,HOTN000774,Rivere View Apartmemnt,"H.No- 186/2b, Fernandes Waddo, Siolim, Bardez,
 North Goa- 403517",5
North Goa,Bardez,Siolim,HOTN001019,Isha Vilas,"H.No.108/1 Vaddy, Siolim, Bardez, North Goa- 403517",7
North Goa,Bardez,Siolim,HOTN001120,Noi Varo,"H. No 60/1 Vaddy Road, Near To St. Anthony'S
 Chruch, Siolim, Bardez, North Goa- 403517",3
North Goa,Bardez,Siolim,HOTN001245,The Heritage Hotel,"H. No 19/1 19/1(A) 19/1(A)2 Marna, Siolim, Bardez,
 North Goa",8
North Goa,Bardez,Siolim,HOTN001371,Homestay'S Siolim,"H.No:981/C, Tarchibhat, Near Canara Bank, Siolim,
 Bardez, North Goa",11
North Goa,Bardez,Siolim,HOTN001572,Jissvilla,"H.No 1220/A Bamon Vaddo, Siolim, Bardez, North Goa",1
North Goa,Bardez,Siolim,HOTN001584,Hiddenhome Homelystay,"Siolim, Siolim, Bardez, North Goa",5
North Goa,Bardez,Siolim,HOTN001708,Sangelkar Royal Appartment,"H.No.843/A, Rai, Siolim, Bardez, North Goa- 403517",4
North Goa,Bardez,Siolim,HOTN001770,Ziva Suites,"Wadi Kere 150-1a-E-103, Siolim, Bardez, North Goa-
 403517",15
North Goa,Bardez,Siolim,HOTN001848,Swami Guest House,"H.No:115-B,Swami Bunglow Wadi Siolim, Siolim,
 Bardez, North Goa- 403517",2
North Goa,Bardez,Siolim,HOTN001899,Siolim Home,"H.No:535/5a,Rai Siolim, Siolim, Bardez, North Goa-
 403517",3
North Goa,Bardez,Siolim,HOTN001912,The White House,"H.No 66/B(P) Opp Candlelight Rest Wadi, Siolim,
 Bardez, North Goa- 403517",6
North Goa,Bardez,Siolim,HOTN001963,Villa De Orange,"74/9 Porto Waddo, Siolim, Bardez, North Goa",21
North Goa,Bardez,Siolim,HOTN002010,The River Inn,"Rai Siolim, Siolim, Bardez, North Goa- 403517",4
North Goa,Bardez,Siolim,HOTN002039,Jmvista Suites Pvt Ltd,"Chunno Vaddo, Siolim, Bardez, North Goa- 403517",10
North Goa,Bardez,Siolim,HOTN002056,Shriram Guest House,"H.No:32 1/3a, Guddem, Siolim, Bardez, North Goa-
 403517",4
North Goa,Bardez,Siolim,HOTN002082,Valanka Villa,"H.No:66/B(P)1 & 111/1 Wadi, Siolim, Bardez, North
 Goa",5
North Goa,Bardez,Siolim,HOTN002108,Namrata Guest House,"H.No:675/B, Porta Waddo, Siolim, Bardez, North Goa-
 403517",3
North Goa,Bardez,Siolim,HOTN002245,Mother Palace,"H.No.422/3a,Guddem, Siolim, Bardez, North Goa",1
North Goa,Bardez,Siolim,HOTN002250,Umesh Ganesh Govekar,"H.No.423/3-B,Guddem, Siolim, Bardez, North Goa",2
North Goa,Bardez,Siolim,HOTN002279,Jaydrath Kunj,"H.No.642/1, Guddem, Siolim, Bardez, North Goa-
 403517",2
North Goa,Bardez,Siolim,HOTN002320,Margaret Place,"H. No. 68/A, Igreja Vaddo, Marna, Siolim, Bardez,
 North Goa",2
North Goa,Bardez,Siolim,HOTN002362,Joao Luis Fernandes,"H.No.75/2 Cruz Vaddo Marna, Siolim, Bardez, North
 Goa- 403517",1
North Goa,Bardez,Siolim,HOTN002400,Villa Siolim,"H.No. 677/5, Siolim, Bardez, North Goa- 403512",5
North Goa,Bardez,Siolim,HOTN002438,Urja Resort And Guest House,"354/2 Opp. Football Ground Siolim Marna, Siolim,
 Bardez, North Goa- 403509",12
North Goa,Bardez,Siolim,HOTN002490,Marsierra,"H.No. 25/1 H (Villa 9) H.No. 25/1 A (S-3), Siolim,
 Bardez, North Goa- 403517",5
North Goa,Bardez,Siolim,HOTN002491,Marsierra,"H.No. (25/1 A G-1) (25/1 C Villa 8) (25/1 E Villa 4),
 Siolim, Bardez, North Goa- 403517",8
North Goa,Bardez,Siolim,HOTN002582,H Key Hospitality,"H.No. 299/3a Dando, Siolim, Bardez, North Goa-
 403517",22
North Goa,Bardez,Siolim,HOTN003030,The River Palace,"H.No. 224 A Fernandes Vaddo, Siolim, Bardez, North
 Goa- 403517",23
North Goa,Bardez,Siolim,HOTN003139,"Isprava Hospitality Pvt Ltd Villa
 C","H.No. 24/1/A/C1 Marna, Siolim, Bardez, North Goa",1
North Goa,Bardez,Siolim,HOTN003145,"Isprava Hospitality Pvt. Ltd Villa
 D","H.No. 24/1/A/B1 Marna, Siolim, Bardez, North Goa",1
North Goa,Bardez,Siolim,HOTN003174,Marsierra,"17/2 Marsierra, Sodiem H.No. 25/1a(S-3) Villa-
 6(25/1), Siolim, Bardez, North Goa",5
North Goa,Bardez,Siolim,HOTN003176,Marsierra,"17/2, Marsierra, Sodiem, 25/1(B) Villa 1, 25/1 C Villa 2, 25/1 D Villa 3, 25/1 A (F-2), Siolim, Bardez, North
 Goa",11
North Goa,Bardez,Siolim,HOTN003215,Aquarius Aira Suites,"H.No. 487/4/B/F/101, 102, 103, 104 & 105 Porta
 Vaddo, Siolim, Bardez, North Goa- 403517",5
North Goa,Bardez,Siolim,HOTN003216,Frangipani 1,"H.No. 34/1 Gausa Vaddo, Siolim, Bardez, North Goa-
 403517",2
North Goa,Bardez,Siolim,HOTN003218,Frangipani 2,"H.No. 33/1, Siolim, Bardez, North Goa- 403517",3
North Goa,Bardez,Siolim,HOTN003247,Silver Wood,"H.No.110/1 Wadi, Siolim, Bardez, North Goa- 403517",8
North Goa,Bardez,Siolim,HOTN003312,Hilario'S Guest House,"H.No. 230/2, Fernandes Vaddo, Siolim, Bardez, North
 Goa- 403517",7
North Goa,Bardez,Siolim,HOTN003477,Goa Home,"Siolim, Siolim, Bardez, North Goa- 403519",1
North Goa,Bardez,Siolim,HOTN003697,Marias Homestay,"Marna, Siolim, Bardez, North Goa- 403517",1
North Goa,Bardez,Siolim,HOTN003769,La Palma Residences,"Igres Waddo Survey No 120/2, Siolim, Bardez, North
 Goa",5
North Goa,Bardez,Siolim,HOTN003813,Laxmi Empire,"H No 574/4 5a3, Siolim, Bardez, North Goa",15
North Goa,Bardez,Siolim,HOTN003819,Casa Santorini,"H.No. 1146/E/1/Vb Apt No A001 Block A Villa Goesa,
 Siolim, Bardez, North Goa- 403516",1
North Goa,Bardez,Siolim,HOTN003825,Blue Bulls,"Siolim Marna, Siolim, Bardez, North Goa",8
North Goa,Bardez,Siolim,HOTN003935,Siolim Holiday Inn,"710/B Tarchi Bhat, Siolim, Bardez, North Goa",5
North Goa,Bardez,Siolim,HOTN003946,Anaya,"Hno 241/2/C/105 First Floor Sharayu Aura, Siolim,
 Bardez, North Goa",1
North Goa,Bardez,Siolim,HOTN003955,Harpreet Guest House Bg-10,"Hno. 834-6-2-Bg-10, Riviera Saffire , Baman Vaddo,
 Siolim Goa, Siolim, Bardez, North Goa- 403517",1
North Goa,Bardez,Siolim,HOTN003956,Harpreet Guest House Bg-4,"907-6-Bg-4, Riviera Sublime, Siolim Goa, Siolim,
 Bardez, North Goa- 403717",1
North Goa,Bardez,Siolim,HOTN003985,La Palma-S101,"Hno 34-1s101 La Palma Residency, Siolim, Bardez,
 North Goa",2
North Goa,Bardez,Siolim,HOTN003986,Anaya,"Hno 241/2/C/102 Sharayu Aura, Siolim, Bardez,
 North Goa",1
North Goa,Bardez,Siolim,HOTN004012,Stayvista At Esencia,"Siolim, Siolim, Bardez, North Goa- 403507",1
North Goa,Bardez,Siolim,HOTN004134,Ajs Retreat,"Hno 34-1-P103 And 34-1-P104 La Palma Residences,
 Siolim, Bardez, North Goa",3
North Goa,Bardez,Siolim,HOTN004177,M/S. Isprava Hospitality Pvt.Ltd,"H No.103, Vaddi, Siolim, Bardez, North Goa",3
North Goa,Bardez,Siolim,HOTN004222,Vibhash Tiwari And Priya Beohar/ Camorc,"Apartment No.Bs-03/2203,""Block-B"" Second Floor, Riviera Sapphire, Survey No.42/8,Off Sodiem Link Road,Bamon Vaddo, Siolim, Bardez, North Goa-
 403517",1
North Goa,Bardez,Siolim,HOTN004223,Vibhash Tiwari & Priya Beohar/Camorc,"Apartment No.Bg-08/2008,Block-B Ground Floor,Riviera Sublime,Survey No.53/17,Next To St.Francis Xavier School,Bamon Vaddo, Siolim, Bardez,
 North Goa- 403517",1
North Goa,Bardez,Siolim,HOTN004230,Mi Casa Es Su Casa-A103,"1319/A - 103 Bella Casa Madhlem Bhat, Siolim,
 Bardez, North Goa- 403517",1
North Goa,Bardez,Siolim,HOTN004231,Mi Casa Es Su Casa -C104,"1319/C-104 Bella Casa Maohlem Bhat, Siolim, Bardez,
 North Goa- 403517",1
North Goa,Bardez,Siolim,HOTN004264,M/S. Isprava Hospitality Pvt.Ltd,"24/1/A/A1, Igrehawaddo, Siolim, Bardez, North Goa",5
North Goa,Bardez,Siolim,HOTN004347,Villa A1 Alexa,"Hno 146/6 Villa A1 Alexa Villa Legacy, Siolim, Bardez,
 North Goa",5
North Goa,Bardez,Siolim,HOTN004359,Abodeofeternitygoa,"Iqrez Wado, Siolim, Bardez, North Goa- 403517",2
North Goa,Bardez,Siolim,HOTN004425,Ahava House,"Siolim, Siolim, Bardez, North Goa- 403519",3
North Goa,Bardez,Siolim,HOTN004447,Whiteboard Homes,"Siolim, Siolim, Bardez, North Goa- 403517",3
North Goa,Bardez,Siolim,HOTN004475,Bella Casa,"Madhlem Bhat Road, Siolim, Bardez, North Goa-
 403517",3
North Goa,Bardez,Siolim,HOTN004476,Fig House,"Siolim Vady, Siolim, Bardez, North Goa- 403517",4
North Goa,Bardez,Siolim,HOTN004537,Goan Vibes,"Apartment 304 3rd Floor, Las Lerrazos, Siolim,
 Bardez, North Goa",1
North Goa,Bardez,Siolim,HOTN004596,Villa Viva,"Wadi, Siolim, Bardez, North Goa",10
North Goa,Bardez,Siolim,HOTN004623,Villa 14,"H.No 222/B/V-1 Marna Mapusa Main Road, Siolim,
 Bardez, North Goa- 403521",7
North Goa,Bardez,Siolim,HOTN004647,Moon House,"H.No 80/1/A/V2 Vaddy, Siolim, Bardez, North Goa",1
North Goa,Bardez,Siolim,HOTN004712,Siolim Door,"Baman Vado, Siolim, Bardez, North Goa- 403517",1
North Goa,Bardez,Siolim,HOTN004771,Sharayu Aura,"Siolim, Siolim, Bardez, North Goa- 403517",2
North Goa,Bardez,Siolim,HOTN004806,Bg08-Bf11 Riviera Sapphire,"Siolim, Siolim, Bardez, North Goa- 403517",2
North Goa,Bardez,Siolim,HOTN004815,"Sharayu Aura Flat No 202 A Wing Second Floor Guddem Road Fernandes Vaddo Siolim
 Goa 403517","Siolim, Siolim, Bardez, North Goa- 403517",1
North Goa,Bardez,Siolim,HOTN004822,Tellado Villas,"H.No 76-2-B-V-4 Cruzwado Marna, Siolim, Bardez,
 North Goa- 403517",1
North Goa,Bardez,Siolim,HOTN004823,Tellado Villas,"H.No 76-2-B-V-1 Cruzwado Marna, Siolim, Bardez,
 North Goa- 403517",1
North Goa,Bardez,Siolim,HOTN004827,Laa Caasa Hospitality Private Limited,"Laa Caasa Hospitality Private Limited C/O. Deyani D Mandrekar, Porta Vaddo, House No. 674/5 Siolim,,
 Siolim, Bardez, North Goa- 403517",21
North Goa,Bardez,Siolim,HOTN004911,De: 28-11 Guest House,"455-6-C Pilimbi Vaddo Sodiem Road, Siolim, Bardez,
 North Goa",8
North Goa,Bardez,Siolim,HOTN005162,Franzila Cottage,"H.No. 815/6c Bammon Vaddo, Siolim, Bardez, North
 Goa",4
North Goa,Bardez,Siolim,HOTN005259,Fenicia Villas,"27/14 Jesus Colony Gaunsa Vaddo Sodiem, Siolim,
 Bardez, North Goa- 403517",3
North Goa,Bardez,Siolim,HOTN005331,"Apartment No Bf One Riviera
 Sapphire","Bamanwado, Siolim, Bardez, North Goa- 403507",1
North Goa,Bardez,Siolim,HOTN005363,Still Corners,"House No. 760/6/Uf/202, Plot No. Sy. No.56/1, Arcadia By Mint, Baman Waddo, Siolim, Siolim,
 Bardez, North Goa- 403517",1
North Goa,Bardez,Siolim,HOTN005404,Riri Homes,"H.No.67-1 Vaddy, Siolim, Bardez, North Goa- 403517",5
North Goa,Bardez,Siolim,HOTN005411,Santa Rosa S5,"Baman Vaddo Oxel, Siolim, Bardez, North Goa",1
North Goa,Bardez,Siolim,HOTN005482,Riverfront Homestay,"House No. 405 Kash Keshav Temple Gudem, Siolim,
 Bardez, North Goa- 403517",4
North Goa,Bardez,Siolim,HOTN005494,Marsierra By Jaglax Homes,"Sy No 17/2 Sodiem, Siolim, Bardez, North Goa",6
North Goa,Bardez,Siolim,HOTN005532,Redrock Eleganza,"Opp Paramount Homes Flat No-A1 Ground Floor,
 Siolim, Bardez, North Goa",1
North Goa,Bardez,Siolim,HOTN005542,Ramsons Infratech Limited,"455/6a Pratibha Appartment Village -Sodiem, Siolim,
 Bardez, North Goa",18
North Goa,Bardez,Siolim,HOTN005553,B&F Kensington Square,"Dongormago Madhlem Bhatt Next To Ajoba Furniture
 Showroom, Siolim, Bardez, North Goa",1
North Goa,Bardez,Siolim,HOTN005554,Hotel Foothills,"House No3/1-A & 3/1 -Af F Sodiem, Siolim, Bardez,
 North Goa",12
North Goa,Bardez,Siolim,HOTN005628,Ankit Guest House,"Apt. No C-102, Bella Casa, Madlem Bhat Siolim Bardez
 Goa, Siolim, Bardez, North Goa- 403517",2
North Goa,Bardez,Siolim,HOTN005638,Riviera Sublime F5,"F5, Riviera Sublime, Kudal, Siolim 403517, Siolim,
 Bardez, North Goa- 403517",2
North Goa,Bardez,Siolim,HOTN005672,Nirvana Homestay,"Siolim, Siolim, Bardez, North Goa- 403519",3
North Goa,Bardez,Siolim,HOTN005720,Riviera Sublime Holiday Homes,"Riviera Sublime Holiday Homes, Apt No. Df 3, Near Saint Xavier School, Siolim, Siolim, Bardez, North Goa-
 403517",1
North Goa,Bardez,Siolim,HOTN005721,Riviera Sublime Holiday Homes,"Riviera Sublime Holiday Homes, Apt No. Bf 3, Near Saint Xavier School, Siolim, Siolim, Bardez, North Goa-
 403517",1
North Goa,Bardez,Siolim,HOTN005722,Jolly Stays,"Siolim, Siolim, Bardez, North Goa- 403517",3
North Goa,Bardez,Siolim,HOTN005729,Jolly Stays,"Siolim, Siolim, Bardez, North Goa- 403517",2
North Goa,Bardez,Siolim,HOTN005731,Jolly Stays,"Df1, Riviera Sublime, Siolim, Bardez, North Goa-
 403517",2
North Goa,Bardez,Siolim,HOTN005858,Nandini Holidays Pvt Ltd,"H No. 901-6-V1,V2,V3,V4,V5,V6,V7,V8,V9, Baman
 Vaddo, Siolim, Bardez, North Goa",27
North Goa,Bardez,Siolim,HOTN005975,Marge Villa,"52/1a Vaddi Afframent, Siolim, Bardez, North Goa",4
North Goa,Bardez,Siolim,HOTN005998,Sublime Holiday Homes,"Baman Vaddo, Siolim, Siolim, Bardez, North Goa-
 403517",3
North Goa,Bardez,Siolim,HOTN006024,House Of Kashinath,"Mdhle Bhat Siolim, Siolim, Bardez, North Goa",5
North Goa,Bardez,Siolim,HOTN006045,Alzmeida Serene,"Hno A/2 Alzmeida Serene, Siolim, Bardez, North Goa",1
North Goa,Bardez,Siolim,HOTN006046,Villa Hanna Dior,"Siolim, Siolim, Bardez, North Goa- 403517",6
North Goa,Bardez,Siolim,HOTN006088,Savaya Stays,"Hno 159/6/A/V5 Villa No V5 D Elegance Meadows
 Marna, Siolim, Bardez, North Goa",3
North Goa,Bardez,Siolim,HOTN006095,L1 - Santaa Rosa,"Oxel Siolim Bardez Goa, Siolim, Bardez, North Goa",2
North Goa,Bardez,Siolim,HOTN006107,Riviera Sublime Apartment,"Bs9, Riviera Sublime, Siolim, Bardez, North Goa-
 403521",1
North Goa,Bardez,Siolim,HOTN006118,"Riviera Sapphire Holiday
 Apartment","2004, Riviera Sapphire, Siolim, Bardez, North Goa-
 403521",1
North Goa,Bardez,Siolim,HOTN006119,Riviera Sapphire Holiday Homes,"Riviera Sapphire Holiday Homes, Apt No. 512, Baman Vaddo, Bardez Goa, Siolim, Bardez, North Goa-
 403517",1
North Goa,Bardez,Siolim,HOTN006120,Riviera Sublime Holiday Homes,"Riviera Sublime Holiday Homes, Apt No. Bs 10, Near
 Saint Xavier School, Siolim, Siolim, Bardez, North Goa- 403517",2
North Goa,Bardez,Siolim,HOTN006153,Mehr Villa,"H.No.40/1a, Igrez Wado, Primary Health Centre,
 Marna, Siolim, Bardez, North Goa- 403517",4
North Goa,Bardez,Siolim,HOTN006215,Nirvana,"A-2, G2, Square Greens, Siolim, Bardez, North Goa-
 403517",2
North Goa,Bardez,Siolim,HOTN006225,Diwa Homes,"Siolim, Siolim, Bardez, North Goa- 403509",15
North Goa,Bardez,Siolim,HOTN006242,Rana Guset House,"Apt No 2001 (Bg1) Riviera Sublime , Siolim Bardez
 Goa, Siolim, Bardez, North Goa- 403517",2
North Goa,Bardez,Siolim,HOTN006250,Bella Casa,"B01, Bella Casa, Madla Bhat Road, Siolim, Siolim,
 Bardez, North Goa- 403507",2
North Goa,Bardez,Siolim,HOTN006276,Green Villaa,"Vila Bearing No.286/4a, Siolim Heritage, Affarment, Sodiem, Siolim Bardez, Goa, Siolim, Bardez, North Goa",4
North Goa,Bardez,Siolim,HOTN006288,Casa Manteiga,"Hno 675-5-A-1 Porta Vaddo, Siolim, Bardez, North
 Goa",10
North Goa,Bardez,Siolim,HOTN006354,Almok Homes,"D S-1, Blue Lagoon, Kudal, Siolim, Bardez, North Goa-
 403517",3
North Goa,Bardez,Siolim,HOTN006360,River House,"River House, H.No 288/A, Fernandes Vaddo, Siolim,
 Bardez, Goa 403517 (Opp. To Villa Tina Complex), Siolim, Bardez, North Goa- 403517",3
North Goa,Bardez,Siolim,HOTN006367,Jolly Stays,"Bf10, Riviera Sublime , Siolim, Goa, Siolim, Bardez,
 North Goa- 403517",2
North Goa,Bardez,Siolim,HOTN006413,Fighouse,"303/3-B, Wadi, Siolim, Siolim, Bardez, North Goa-
 403517",4
North Goa,Bardez,Siolim,HOTN006429,Pool View Apartment,"H.No 834-6-2-Bf5 ,Riviera Sapphire,Bamaon Wado,Siolim Bardez Goa, Siolim, Bardez, North Goa-
 403517",1
North Goa,Bardez,Siolim,HOTN006437,Casa Fernandes,"H.No 115/B Vaddy Siolim, Bardez, Siolim, Bardez,
 North Goa- 403517",4
North Goa,Bardez,Siolim,HOTN006577,Mangrove Villa,"Danda, Siolim, Bardez, North Goa- 403517",2
North Goa,Bardez,Siolim,HOTN006610,Baan Kia,"Kudal, Siolim, Bardez, North Goa- 403517",2
North Goa,Bardez,Siolim,HOTN006632,Beautiful And Cozy,"Bamon Wado,Siolim Bardez Goa, Siolim, Bardez,
 North Goa- 403517",2
North Goa,Bardez,Siolim,HOTN006645,Boho Trip,"D7 Redrock Elegance 72/46 Marna, Siolim, Bardez,
 North Goa- 403517",1
North Goa,Bardez,Siolim,HOTN006652,Nivedita Homestay,"Hno 347/A/1 Dando Siolim Bardez Goa, Siolim,
 Bardez, North Goa- 403517",5
North Goa,Bardez,Siolim,HOTN006682,Casa Bianca,"Sodiem, Siolim, Bardez, North Goa- 403517",1
North Goa,Bardez,Siolim,HOTN006695,Luxury 1 Bhk,"103, 1st Floor, Sharayu Aura, Fernandes Waddo, Porto
 Vaddo, Siolim, Bardez, North Goa- 403517",1
North Goa,Bardez,Siolim,HOTN006763,R&J Home,"Bammon Vaddo, Siolim, Bardez, North Goa- 403517",2
North Goa,Bardez,Sircaim,HOTN000947,Sneh Guest House,"H.No- 3/1, Near Thivim Railway Station, Sircaim,
 Bardez, North Goa- 403502",4
North Goa,Bardez,Sircaim,HOTN002029,Subodh Residency,"Hno.8, Bellavista, Thivim, Sircaim, Bardez, North Goa-
 403502",7
North Goa,Bardez,Sircaim,HOTN005597,Vishwanath Guest House,"Hno Ehn-05/I/C, Sircaim, Bardez, North Goa",3
North Goa,Bardez,Tivim,HOTN002303,"Shalom Villa , Bryan'S
 Homestay","H.No.347-1,Auchitvaddo,Near Football Ground, Tivim,
 Bardez, North Goa- 403502",2
North Goa,Bardez,Tivim,HOTN003886,Dsouzas Guest House,"Tivim, Tivim, Bardez, North Goa- 403505",14
North Goa,Bardez,Tivim,HOTN004872,Virat Square Garden,"H.No-942/4 Cansa Tivim, Tivim, Bardez, North Goa",5
North Goa,Bardez,Tivim,HOTN005737,"Windchimes Portuguese
 Homestay","Bodiem, Tivim, Tivim, Bardez, North Goa- 403502",3
North Goa,Bardez,Tivim,HOTN006025,Galaxy Guest House,"Near Tivim Railway Station, Tivim, Bardez, North Goa",4
North Goa,Bardez,Ucassaim,HOTN003795,Green Villa,"H.No.171/2 Pellowado, Ucassaim, Bardez, North Goa",3
North Goa,Bardez,Ucassaim,HOTN004880,Serra Estrella,"Ucassiam Mapusa, Ucassaim, Bardez, North Goa",6
North Goa,Bardez,Ucassaim,HOTN006292,"M/S. Kb Lamrin Hotels And
 Resorts Private Limited","Ucassaim, Ucassaim, Bardez, North Goa- 403507",6
North Goa,Bardez,Verla,HOTN001283,Satsanga Retreat,"H No.C/93, Naika Vado, Canca, Verla, Bardez, North
 Goa- 403510",17
North Goa,Bardez,Verla,HOTN001475,Motel Rhythm Next,"H.No. 451/2/F4-G-2, Jomas Paradise Appt., Verla,
 Bardez, North Goa",8
North Goa,Bardez,Verla,HOTN002325,Genesis Leisure Llp,"Emerald Isles ,Freitas Vaddo, Nr Krishnavadi, Verla,
 Bardez, North Goa- 403510",6
